league,player_id,salary,season,season_end,season_start,team,adjusted_salary
NBA,abdelal01,395000,1990-91,1991,1990,Portland Trail Blazers,328715.2788850974
NBA,abdelal01,494000,1991-92,1992,1991,Portland Trail Blazers,396235.57256366516
NBA,abdelal01,500000,1992-93,1993,1992,Boston Celtics,391252.84874655143
NBA,abdelal01,805000,1993-94,1994,1993,Boston Celtics,615394.0237293101
NBA,abdelal01,650000,1994-95,1995,1994,Sacramento Kings,486058.77380253025
NBA,abdulka01,1530000,1984-85,1985,1984,Los Angeles Lakers,1530000.0
NBA,abdulka01,2030000,1985-86,1986,1985,Los Angeles Lakers,1960868.0362761428
NBA,abdulka01,2000000,1987-88,1988,1987,Los Angeles Lakers,1851300.0603029337
NBA,abdulka01,3000000,1988-89,1989,1988,Los Angeles Lakers,2694372.741352607
NBA,abdulma02,1660000,1990-91,1991,1990,Denver Nuggets,1381436.361896865
NBA,abdulma02,2008000,1991-92,1992,1991,Denver Nuggets,1610609.371878218
NBA,abdulma02,2358000,1992-93,1993,1992,Denver Nuggets,1845148.4346887367
NBA,abdulma02,1825000,1993-94,1994,1993,Denver Nuggets,1395147.9419950198
NBA,abdulma02,2200000,1994-95,1995,1994,Denver Nuggets,1645122.0036393332
NBA,abdulma02,2600000,1995-96,1996,1995,Denver Nuggets,1903141.654978962
NBA,abdulma02,3100000,1996-97,1997,1996,Sacramento Kings,2225739.44146375
NBA,abdulma02,3300000,1997-98,1998,1997,Sacramento Kings,2325506.346205779
NBA,abdulma02,798500,2000-01,2001,2000,Vancouver Grizzlies,538942.3213708373
NBA,abdulta01,1226880,1997-98,1998,1997,Sacramento Kings,864580.9775857413
NBA,abdulta01,1411000,1998-99,1999,1998,Sacramento Kings,983349.4464993923
NBA,abdulta01,1594920,1999-00,2000,1999,Denver Nuggets,1097631.3681017999
NBA,abdulta01,4500000,2000-01,2001,2000,Denver Nuggets,3037245.392822502
NBA,abdulta01,5062500,2001-02,2002,2001,Denver Nuggets,3335840.0459572747
NBA,abdulta01,5625000,2002-03,2003,2002,Dallas Mavericks,3646635.5709033087
NBA,abdulta01,6187500,2003-04,2004,2003,Dallas Mavericks,3935957.4014260466
NBA,abdulta01,6750000,2004-05,2005,2004,Dallas Mavericks,4199088.145896656
NBA,abdulta01,3656250,2005-06,2006,2005,Dallas Mavericks,2207207.239771899
NBA,abdulta01,1968750,2006-07,2007,2006,Dallas Mavericks,1151779.1086101176
NBA,abdursh01,2186000,1996-97,1997,1996,Vancouver Grizzlies,1569505.2964644376
NBA,abdursh01,9000000,1999-00,2000,1999,Vancouver Grizzlies,6193841.893584756
NBA,abdursh01,10130000,2000-01,2001,2000,Vancouver Grizzlies,6837176.850953766
NBA,abdursh01,11250000,2001-02,2002,2001,Atlanta Hawks,7412977.879905054
NBA,abdursh01,12375000,2002-03,2003,2002,Atlanta Hawks,8022598.255987279
NBA,abdursh01,13500000,2003-04,2004,2003,Atlanta Hawks,8587543.421293193
NBA,abdursh01,14625000,2004-05,2005,2004,Portland Trail Blazers,9098024.316109423
NBA,abdursh01,5000000,2005-06,2006,2005,Sacramento Kings,3018403.06293593
NBA,abdursh01,5400000,2006-07,2007,2006,Sacramento Kings,3159165.555044894
NBA,abdursh01,5800000,2007-08,2008,2007,Sacramento Kings,3296007.1429349184
NBA,abdursh01,6600000,2009-10,2010,2009,Sacramento Kings,3625144.7094234773
NBA,abrinal01,5994764,2016-17,2017,2016,Oklahoma City Thunder,2982665.8387911725
NBA,abrinal01,5725000,2017-18,2018,2017,Oklahoma City Thunder,2791417.533959902
NBA,ackeral01,398762,2005-06,2006,2005,Detroit Pistons,240724.88843649146
NBA,ackeral01,839209,2006-07,2007,2006,Detroit Pistons,490962.9937562353
NBA,ackeral01,711517,2008-09,2009,2008,Los Angeles Clippers,396498.5556563984
NBA,acresma01,75000,1987-88,1988,1987,Boston Celtics,69423.75226136002
NBA,acresma01,300000,1988-89,1989,1988,Boston Celtics,269437.27413526067
NBA,acresma01,437000,1990-91,1991,1990,Orlando Magic,363667.28322224703
NBA,acresma01,547000,1991-92,1992,1991,Orlando Magic,438746.6765026819
NBA,acresma01,250000,1992-93,1993,1992,Houston Rockets,195626.42437327572
NBA,acyqu01,665000,2012-13,2013,2012,Toronto Raptors,349464.31987755874
NBA,acyqu01,788872,2013-14,2014,2013,Toronto Raptors,407067.6548580695
NBA,acyqu01,915243,2014-15,2015,2014,New York Knicks,464014.02896776824
NBA,acyqu01,981348,2015-16,2016,2015,Sacramento Kings,491932.3438955751
NBA,acyqu01,1914544,2016-17,2017,2016,Brooklyn Nets,952572.1088707756
NBA,acyqu01,1050961,2016-17,2017,2016,Dallas Mavericks,522900.56332523003
NBA,acyqu01,1709538,2017-18,2018,2017,Brooklyn Nets,833543.1175844093
NBA,adamsal01,500000,1984-85,1985,1984,Phoenix Suns,500000.0
NBA,adamsal01,600000,1985-86,1986,1985,Phoenix Suns,579566.9072737368
NBA,adamsal01,675000,1987-88,1988,1987,Phoenix Suns,624813.7703522401
NBA,adamsha01,412718,2006-07,2007,2006,New Jersey Nets,241452.68324944787
NBA,adamsha01,297163,2008-09,2009,2008,Los Angeles Clippers,165596.46543163736
NBA,adamsjo01,1344120,2014-15,2015,2014,Memphis Grizzlies,681448.027044355
NBA,adamsjo01,1404600,2015-16,2016,2015,Memphis Grizzlies,704101.0632677956
NBA,adamsjo01,1465080,2016-17,2017,2016,Memphis Grizzlies,728943.4691834692
NBA,adamsmi01,85000,1985-86,1986,1985,Sacramento Kings,82105.31186377938
NBA,adamsmi01,160000,1987-88,1988,1987,Denver Nuggets,148104.0048242347
NBA,adamsmi01,375000,1988-89,1989,1988,Denver Nuggets,336796.5926690759
NBA,adamsmi01,825000,1990-91,1991,1990,Denver Nuggets,686557.2280511529
NBA,adamsmi01,1309000,1991-92,1992,1991,Washington Bullets,1049944.057663639
NBA,adamsmi01,1309000,1992-93,1993,1992,Washington Bullets,1024299.9580184717
NBA,adamsmi01,1309000,1993-94,1994,1993,Washington Bullets,1000684.1951076607
NBA,adamsmi01,1240000,1994-95,1995,1994,Charlotte Hornets,927250.5838694422
NBA,adamsst01,2090880,2013-14,2014,2013,Oklahoma City Thunder,1078919.797114919
NBA,adamsst01,2184960,2014-15,2015,2014,Oklahoma City Thunder,1107740.8871014745
NBA,adamsst01,2279040,2015-16,2016,2015,Oklahoma City Thunder,1142442.3232449358
NBA,adamsst01,3140517,2016-17,2017,2016,Oklahoma City Thunder,1562549.0464750465
NBA,adamsst01,22471910,2017-18,2018,2017,Oklahoma City Thunder,10956940.36603823
