,DATE,GDPDEF,year,inflation
0,1947-01-01,11.952,1947,22.900938877179538
1,1947-04-01,12.122,1947,23.226671776202338
2,1947-07-01,12.326,1947,23.617551255029703
3,1947-10-01,12.63,1947,24.200038321517535
4,1948-01-01,12.731,1948,24.39356198505461
5,1948-04-01,12.845,1948,24.61199463498755
6,1948-07-01,13.083,1948,25.06802069361947
7,1948-10-01,13.123,1948,25.144663728683657
8,1949-01-01,13.053,1949,25.010538417321328
9,1949-04-01,12.923,1949,24.761448553362715
10,1949-07-01,12.863,1949,24.64648400076643
11,1949-10-01,12.864,1949,24.64840007664304
12,1950-01-01,12.845,1950,24.61199463498755
13,1950-04-01,12.888,1950,24.69438589768155
14,1950-07-01,13.168,1950,25.230887143130868
15,1950-10-01,13.415,1950,25.704157884652233
16,1951-01-01,13.9,1951,26.63345468480552
17,1951-04-01,13.992,1951,26.809733665453155
18,1951-07-01,14.0,1951,26.825062272465992
19,1951-10-01,14.16,1951,27.131634412722747
20,1952-01-01,14.153,1952,27.118221881586514
21,1952-04-01,14.17,1952,27.15079517148879
22,1952-07-01,14.329,1952,27.455451235868942
23,1952-10-01,14.368,1952,27.53017819505653
24,1953-01-01,14.371,1953,27.53592642268634
25,1953-04-01,14.4,1953,27.59149262310788
26,1953-07-01,14.46,1953,27.706457175704163
27,1953-10-01,14.487,1953,27.75819122437249
28,1954-01-01,14.533,1954,27.846330714696304
29,1954-04-01,14.546,1954,27.871239701092165
30,1954-07-01,14.565,1954,27.907645142747654
31,1954-10-01,14.605,1954,27.984288177811845
32,1955-01-01,14.673,1955,28.114581337420965
33,1955-04-01,14.734,1955,28.23146196589385
34,1955-07-01,14.837,1955,28.428817781184136
35,1955-10-01,14.984,1955,28.71048093504503
36,1956-01-01,15.134,1956,28.997892316535737
37,1956-04-01,15.224,1956,29.170339145430162
38,1956-07-01,15.415,1956,29.53630963786166
39,1956-10-01,15.477,1956,29.655106342211155
40,1957-01-01,15.689,1957,30.061314428051354
41,1957-04-01,15.799,1957,30.27208277447787
42,1957-07-01,15.893,1957,30.452193906878716
43,1957-10-01,15.904,1957,30.473270741521365
44,1958-01-01,16.076,1958,30.80283579229738
45,1958-04-01,16.123,1958,30.8928913584978
46,1958-07-01,16.221,1958,31.08066679440506
47,1958-10-01,16.298,1958,31.22820463690362
48,1959-01-01,16.336,1959,31.301015520214598
49,1959-04-01,16.361,1959,31.348917417129723
50,1959-07-01,16.424,1959,31.469630197355816
51,1959-10-01,16.489,1959,31.594175129335124
52,1960-01-01,16.555,1960,31.720636137191036
53,1960-04-01,16.597,1960,31.801111324008435
54,1960-07-01,16.654,1960,31.910327648974903
55,1960-10-01,16.703,1960,32.004215366928534
56,1961-01-01,16.739,1961,32.073194098486304
57,1961-04-01,16.778,1961,32.147921057673884
58,1961-07-01,16.821,1961,32.230312320367894
59,1961-10-01,16.874,1961,32.33186434182794
60,1962-01-01,16.961,1962,32.498562943092544
61,1962-04-01,16.989,1962,32.55221306763748
62,1962-07-01,17.024,1962,32.619275723318644
63,1962-10-01,17.059,1962,32.686338378999814
64,1963-01-01,17.134,1963,32.83004406974516
65,1963-04-01,17.164,1963,32.88752634604331
66,1963-07-01,17.187,1963,32.931596091205215
67,1963-10-01,17.326,1963,33.19793063805327
68,1964-01-01,17.381,1964,33.30331481126653
69,1964-04-01,17.421,1964,33.37995784633072
70,1964-07-01,17.49,1964,33.512167081816436
71,1964-10-01,17.57,1964,33.66545315194482
72,1965-01-01,17.658,1965,33.83406782908604
73,1965-04-01,17.739,1965,33.98926997509102
74,1965-07-01,17.808,1965,34.121479210576744
75,1965-10-01,17.93,1965,34.35524046752251
76,1966-01-01,18.046,1966,34.577505269208665
77,1966-04-01,18.193,1966,34.85916842306956
