id,birthdate,career_ast,career_fg,career_fg3,career_ft,career_g,career_per,career_pts,career_trb,career_ws,career_efg,college,draft_round,draft_year,height,name,position,shoots,weight,birth_year,birth_month,birth_day,career_ast normalized,career_fg normalized,career_fg3 normalized,career_ft normalized,career_g normalized,career_per normalized,career_pts normalized,career_trb normalized,career_ws normalized,career_efg normalized,height normalized,weight normalized,attended_college,Point Guard,Shooting Guard,Small Forward,Power Forward,Center,Forward,Guard,career_revenue,adjusted_career_revenue
abdelal01,1968-06-24,0.3,50.2,0.0,70.1,256,13.0,5.7,3.3,4.8,50.2,Duke University,1st round,1990,82,Alaa Abdelnaby,Power Forward,Right,240,1968,6,24,-0.8806969935637197,0.7858939393682558,-1.2930124028164887,0.029317695588268657,-0.3072908662756806,0.16213778951790256,-0.34459339211817147,-0.009552073421607717,-0.4739316867122775,0.5070853850305959,0.8997242028846847,1.0003950123384315,1,0,0,0,1,0,1,0,2844000,2217656
abdulka01,1947-04-16,3.6,55.9,5.6,72.1,1560,24.6,24.6,11.2,273.4,55.9,"University of California, Los Angeles",1st round,1969,86,Kareem Abdul-Jabbar,Center,Right,225,1947,4,16,1.3303794531060276,1.4901643770311284,-0.9459793546931127,0.15703323016150694,3.580042990406122,2.3338883801654338,3.442283567451649,3.4421073465011522,8.597965575875651,1.1927909958848328,2.0360638469231205,0.42877878925214047,1,0,0,0,0,1,0,0,8560000,8036540
abdulma02,1969-03-09,3.5,44.2,35.4,90.5,586,15.4,14.6,1.9,25.2,47.2,Louisiana State University,1st round,1990,73,Mahmoud Abdul-Rauf,Point Guard,Right,162,1969,3,9,1.2633771365402777,0.04455663656523161,0.9007322228205671,1.3320161482352997,0.6764669348784565,0.6114654979277366,1.438644964504654,-0.6212385529015905,0.21507316867414744,0.14618769510731305,-1.6570399962017963,-1.972009347710282,1,1,0,0,0,0,0,1,19849500,14870793
abdulta01,1974-11-03,1.1,41.7,23.7,70.3,236,11.4,7.8,3.3,3.5,42.2,"University of Michigan, San Jose State University",1st round,1997,78,Tariq Abdul-Wahad,Shooting Guard,Right,223,1974,11,3,-0.3446784610377203,-0.2643339062693618,0.17568103299137067,0.04208924904559267,-0.36691255119411315,-0.13741401608865336,0.0761707145006974,-0.009552073421607717,-0.5178388588692556,-0.45530845476482507,-0.23661544115375133,0.352563292840635,1,0,1,0,0,0,0,1,37982800,24459314
abdursh01,1976-12-11,2.5,47.2,29.7,81.0,830,19.0,18.1,7.5,71.2,47.9,University of California,1st round,1996,81,Shareef Abdur-Rahim,Center and Small Forward and Power Forward,Right,225,1976,12,11,0.5933539708827784,0.41522528796674374,0.5475021559807022,0.7253673590124177,1.4038514908833337,1.2854570605424875,2.1399184755361023,1.8255073650183407,1.7687115680749097,0.23039715608941186,0.6156392918750757,0.42877878925214047,1,0,0,1,1,1,1,0,95866000,60820388
abrinal01,1993-08-01,0.5,38.7,36.8,88.0,174,8.8,5.3,1.4,5.0,52.5,N/A,2nd round,2013,78,Alex Abrines,Shooting Guard,Right,200,1993,8,1,-0.7466923604322199,-0.6350025576708739,0.987490484851411,1.1723717300187517,-0.5517397744412541,-0.6241857001993067,-0.4247389362360513,-0.8396980098587272,-0.4671767371496655,0.7837736139717791,-0.23661544115375133,-0.5239149158916779,0,0,1,0,0,0,0,1,11719764,5774083
ackeral01,1983-01-21,0.5,37.0,32.0,50.0,30,8.5,2.7,1.0,-0.2,41.3,Pepperdine University,2nd round,2005,77,Alex Acker,Shooting Guard,Right,185,1983,1,21,-0.7466923604322199,-0.8450481267983978,0.690033586459946,-1.2542234268727759,-0.9810159058539685,-0.6803516637505361,-0.94568497300227,-1.0144655754244365,-0.6428054257775777,-0.5635777617418106,-0.5207003521633603,-1.095531138977969,1,0,1,0,0,0,0,1,1949488,1128186
acresma01,1962-11-15,0.5,50.6,53.8,66.5,375,9.0,3.6,4.1,9.3,50.9,Oral Roberts University,2nd round,1985,83,Mark Acres,Center,Right,220,1962,11,15,-0.7466923604322199,0.8353164262217906,2.0409836666545167,-0.2005702666435599,0.04745815898899308,-0.5867417244984874,-0.7653574987370404,0.33998305770981097,-0.3219453215535073,0.5912948460126948,1.1838091138942937,0.23824004822337677,1,0,0,0,0,1,0,0,1609000,1336901
acyqu01,1990-10-06,0.6,44.4,35.0,75.9,337,11.2,4.9,3.5,8.7,51.3,Baylor University,2nd round,2012,79,Quincy Acy,Power Forward and Small Forward,Right,240,1990,10,6,-0.6796900438664699,0.06926787999199856,0.8759441479546117,0.39969274585066045,-0.06582304235602877,-0.17485799178947306,-0.504884480353931,0.07783170936124705,-0.34221017024134337,0.6394145380024656,0.04746946985585768,1.0003950123384315,1,0,0,1,1,0,1,0,8025506,4021494
adamsal01,1954-07-19,4.1,49.8,13.3,78.8,988,18.3,14.1,7.0,73.5,49.8,University of Oklahoma,1st round,1975,81,Alvan Adams,Center and Power Forward,Right,210,1954,7,19,1.665391035934777,0.7364714525147201,-0.4688089135234705,0.5848802709818555,1.874862801738951,1.1544031455896195,1.338463034357304,1.6070479080612041,1.8463934880449477,0.4589656930408242,0.6156392918750757,-0.1428374338341506,1,0,0,0,1,1,1,0,1775000,1704380
