league,player_id,salary,season,season_end,season_start,team,adjusted_salary
NBA,abdelal01,395000,1990-91,1991,1990,Portland Trail Blazers,65767.1893038237
NBA,abdelal01,494000,1991-92,1992,1991,Portland Trail Blazers,72561.6418460971
NBA,abdelal01,500000,1992-93,1993,1992,Boston Celtics,1077901.5982967492
NBA,abdelal01,805000,1993-94,1994,1993,Boston Celtics,114669.69386260437
NBA,abdelal01,650000,1994-95,1995,1994,Sacramento Kings,185076.22540942498
NBA,abdulka01,1530000,1984-85,1985,1984,Los Angeles Lakers,4631400.0
NBA,abdulka01,2030000,1985-86,1986,1985,Los Angeles Lakers,13040255.413659077
NBA,abdulka01,2000000,1987-88,1988,1987,Los Angeles Lakers,453568.5147742187
NBA,abdulka01,3000000,1988-89,1989,1988,Los Angeles Lakers,1939948.373773877
NBA,abdulma02,1660000,1990-91,1991,1990,Denver Nuggets,65767.1893038237
NBA,abdulma02,2008000,1991-92,1992,1991,Denver Nuggets,72561.6418460971
NBA,abdulma02,2358000,1992-93,1993,1992,Denver Nuggets,1077901.5982967492
NBA,abdulma02,1825000,1993-94,1994,1993,Denver Nuggets,114669.69386260437
NBA,abdulma02,2200000,1994-95,1995,1994,Denver Nuggets,185076.22540942498
NBA,abdulma02,2600000,1995-96,1996,1995,Denver Nuggets,2195932.6788218794
NBA,abdulma02,3100000,1996-97,1997,1996,Sacramento Kings,2871921.8599532256
NBA,abdulma02,3300000,1997-98,1998,1997,Sacramento Kings,1374603.277747772
NBA,abdulma02,798500,2000-01,2001,2000,Vancouver Grizzlies,7593113.482056255
NBA,abdulta01,1226880,1997-98,1998,1997,Sacramento Kings,1374603.277747772
NBA,abdulta01,1411000,1998-99,1999,1998,Sacramento Kings,905991.694152523
NBA,abdulta01,1594920,1999-00,2000,1999,Denver Nuggets,1412443.7054130677
NBA,abdulta01,4500000,2000-01,2001,2000,Denver Nuggets,7593113.482056255
NBA,abdulta01,5062500,2001-02,2002,2001,Denver Nuggets,8713141.71759002
NBA,abdulta01,5625000,2002-03,2003,2002,Dallas Mavericks,12172864.993043823
NBA,abdulta01,6187500,2003-04,2004,2003,Dallas Mavericks,2054044.9692242062
NBA,abdulta01,6750000,2004-05,2005,2004,Dallas Mavericks,1162146.4782168185
NBA,abdulta01,3656250,2005-06,2006,2005,Dallas Mavericks,1901593.929649636
NBA,abdulta01,1968750,2006-07,2007,2006,Dallas Mavericks,3023753.773834478
NBA,abdursh01,2186000,1996-97,1997,1996,Vancouver Grizzlies,2871921.8599532256
NBA,abdursh01,9000000,1999-00,2000,1999,Vancouver Grizzlies,1412443.7054130677
NBA,abdursh01,10130000,2000-01,2001,2000,Vancouver Grizzlies,7593113.482056255
NBA,abdursh01,11250000,2001-02,2002,2001,Atlanta Hawks,8713141.71759002
NBA,abdursh01,12375000,2002-03,2003,2002,Atlanta Hawks,12172864.993043823
NBA,abdursh01,13500000,2003-04,2004,2003,Atlanta Hawks,2054044.9692242062
NBA,abdursh01,14625000,2004-05,2005,2004,Portland Trail Blazers,1162146.4782168185
NBA,abdursh01,5000000,2005-06,2006,2005,Sacramento Kings,1901593.929649636
NBA,abdursh01,5400000,2006-07,2007,2006,Sacramento Kings,3023753.773834478
NBA,abdursh01,5800000,2007-08,2008,2007,Sacramento Kings,614557.5801130238
NBA,abdursh01,6600000,2009-10,2010,2009,Sacramento Kings,1922425.2246942683
NBA,abrinal01,5994764,2016-17,2017,2016,Oklahoma City Thunder,396832.5696172363
NBA,abrinal01,5725000,2017-18,2018,2017,Oklahoma City Thunder,521475.3144677591
NBA,ackeral01,398762,2005-06,2006,2005,Detroit Pistons,1901593.929649636
NBA,ackeral01,839209,2006-07,2007,2006,Detroit Pistons,3023753.773834478
NBA,ackeral01,711517,2008-09,2009,2008,Los Angeles Clippers,235998.7720890502
NBA,acresma01,75000,1987-88,1988,1987,Boston Celtics,453568.5147742187
NBA,acresma01,300000,1988-89,1989,1988,Boston Celtics,1939948.373773877
NBA,acresma01,437000,1990-91,1991,1990,Orlando Magic,65767.1893038237
NBA,acresma01,547000,1991-92,1992,1991,Orlando Magic,72561.6418460971
NBA,acresma01,250000,1992-93,1993,1992,Houston Rockets,1077901.5982967492
NBA,acyqu01,665000,2012-13,2013,2012,Toronto Raptors,1371581.766737486
NBA,acyqu01,788872,2013-14,2014,2013,Toronto Raptors,1322704.6479667001
NBA,acyqu01,915243,2014-15,2015,2014,New York Knicks,497394.3964562569
NBA,acyqu01,981348,2015-16,2016,2015,Sacramento Kings,52983.52981856253
NBA,acyqu01,1914544,2016-17,2017,2016,Brooklyn Nets,396832.5696172363
NBA,acyqu01,1050961,2016-17,2017,2016,Dallas Mavericks,396832.5696172363
NBA,acyqu01,1709538,2017-18,2018,2017,Brooklyn Nets,521475.3144677591
NBA,adamsal01,500000,1984-85,1985,1984,Phoenix Suns,4631400.0
NBA,adamsal01,600000,1985-86,1986,1985,Phoenix Suns,13040255.413659077
NBA,adamsal01,675000,1987-88,1988,1987,Phoenix Suns,453568.5147742187
NBA,adamsha01,412718,2006-07,2007,2006,New Jersey Nets,3023753.773834478
NBA,adamsha01,297163,2008-09,2009,2008,Los Angeles Clippers,235998.7720890502
NBA,adamsjo01,1344120,2014-15,2015,2014,Memphis Grizzlies,497394.3964562569
NBA,adamsjo01,1404600,2015-16,2016,2015,Memphis Grizzlies,52983.52981856253
NBA,adamsjo01,1465080,2016-17,2017,2016,Memphis Grizzlies,396832.5696172363
NBA,adamsmi01,85000,1985-86,1986,1985,Sacramento Kings,13040255.413659077
NBA,adamsmi01,160000,1987-88,1988,1987,Denver Nuggets,453568.5147742187
NBA,adamsmi01,375000,1988-89,1989,1988,Denver Nuggets,1939948.373773877
NBA,adamsmi01,825000,1990-91,1991,1990,Denver Nuggets,65767.1893038237
NBA,adamsmi01,1309000,1991-92,1992,1991,Washington Bullets,72561.6418460971
NBA,adamsmi01,1309000,1992-93,1993,1992,Washington Bullets,1077901.5982967492
NBA,adamsmi01,1309000,1993-94,1994,1993,Washington Bullets,114669.69386260437
NBA,adamsmi01,1240000,1994-95,1995,1994,Charlotte Hornets,185076.22540942498
NBA,adamsst01,2090880,2013-14,2014,2013,Oklahoma City Thunder,1322704.6479667001
NBA,adamsst01,2184960,2014-15,2015,2014,Oklahoma City Thunder,497394.3964562569
NBA,adamsst01,2279040,2015-16,2016,2015,Oklahoma City Thunder,52983.52981856253
NBA,adamsst01,3140517,2016-17,2017,2016,Oklahoma City Thunder,396832.5696172363
NBA,adamsst01,22471910,2017-18,2018,2017,Oklahoma City Thunder,521475.3144677591
NBA,addisra01,311000,1991-92,1992,1991,New Jersey Nets,72561.6418460971
NBA,addisra01,522000,1992-93,1993,1992,New Jersey Nets,1077901.5982967492
NBA,addisra01,250000,1994-95,1995,1994,Detroit Pistons,185076.22540942498
NBA,addisra01,360000,1995-96,1996,1995,Charlotte Hornets,2195932.6788218794
NBA,addisra01,290000,1996-97,1997,1996,Charlotte Hornets,2871921.8599532256
NBA,adebaba01,2490360,2017-18,2018,2017,Miami Heat,521475.3144677591
NBA,adrieje01,342666,2010-11,2011,2010,Golden State Warriors,2677082.6790611977
NBA,adrieje01,270427,2011-12,2012,2011,Houston Rockets,206409.61107801038
NBA,adrieje01,804131,2012-13,2013,2012,Charlotte Bobcats,1371581.766737486
NBA,adrieje01,916099,2013-14,2014,2013,Charlotte Bobcats,1322704.6479667001
NBA,adrieje01,981084,2014-15,2015,2014,Houston Rockets,497394.3964562569
NBA,afflaar01,944520,2007-08,2008,2007,Detroit Pistons,614557.5801130238
NBA,afflaar01,1015440,2008-09,2009,2008,Detroit Pistons,235998.7720890502
NBA,afflaar01,1086240,2009-10,2010,2009,Denver Nuggets,1922425.2246942683
NBA,afflaar01,1959577,2010-11,2011,2010,Denver Nuggets,2677082.6790611977
NBA,afflaar01,7562500,2011-12,2012,2011,Denver Nuggets,206409.61107801038
NBA,afflaar01,7750000,2012-13,2013,2012,Orlando Magic,1371581.766737486
NBA,afflaar01,7312500,2013-14,2014,2013,Orlando Magic,1322704.6479667001
NBA,afflaar01,7750000,2014-15,2015,2014,Portland Trail Blazers,497394.3964562569
NBA,afflaar01,8000000,2015-16,2016,2015,New York Knicks,52983.52981856253
NBA,afflaar01,12500000,2016-17,2017,2016,Sacramento Kings,396832.5696172363
NBA,afflaar01,1500000,2017-18,2018,2017,Sacramento Kings,521475.3144677591
NBA,afflaar01,1471382,2017-18,2018,2017,Orlando Magic,521475.3144677591
NBA,agerma01,906480,2006-07,2007,2006,Dallas Mavericks,3023753.773834478
NBA,agerma01,974400,2007-08,2008,2007,New Jersey Nets,614557.5801130238
NBA,agerma01,1042440,2008-09,2009,2008,New Jersey Nets,235998.7720890502
NBA,agerma01,83305,2010-11,2011,2010,Minnesota Timberwolves,2677082.6790611977
NBA,aguirma01,800000,1984-85,1985,1984,Dallas Mavericks,4631400.0
NBA,aguirma01,626240,1985-86,1986,1985,Dallas Mavericks,13040255.413659077
NBA,aguirma01,715700,1987-88,1988,1987,Dallas Mavericks,453568.5147742187
NBA,aguirma01,715700,1988-89,1989,1988,Dallas Mavericks,1939948.373773877
NBA,aguirma01,1115000,1990-91,1991,1990,Detroit Pistons,65767.1893038237
NBA,aguirma01,1232000,1991-92,1992,1991,Detroit Pistons,72561.6418460971
NBA,aguirma01,1351000,1992-93,1993,1992,Detroit Pistons,1077901.5982967492
NBA,aguirma01,1471000,1993-94,1994,1993,Detroit Pistons,114669.69386260437
NBA,aguirma01,150000,1993-94,1994,1993,Los Angeles Clippers,114669.69386260437
NBA,ahearbl01,125562,2008-09,2009,2008,San Antonio Spurs,235998.7720890502
NBA,aingeda01,400000,1984-85,1985,1984,Boston Celtics,4631400.0
NBA,aingeda01,550000,1985-86,1986,1985,Boston Celtics,13040255.413659077
NBA,aingeda01,625000,1987-88,1988,1987,Boston Celtics,453568.5147742187
NBA,aingeda01,675000,1988-89,1989,1988,Boston Celtics,1939948.373773877
NBA,aingeda01,725000,1990-91,1991,1990,Portland Trail Blazers,65767.1893038237
NBA,aingeda01,725000,1991-92,1992,1991,Portland Trail Blazers,72561.6418460971
NBA,aingeda01,1330000,1992-93,1993,1992,Phoenix Suns,1077901.5982967492
NBA,aingeda01,1690000,1993-94,1994,1993,Phoenix Suns,114669.69386260437
NBA,aingeda01,2080000,1994-95,1995,1994,Phoenix Suns,185076.22540942498
NBA,ajincal01,1276320,2008-09,2009,2008,Charlotte Bobcats,235998.7720890502
NBA,ajincal01,1372080,2009-10,2010,2009,Charlotte Bobcats,1922425.2246942683
NBA,ajincal01,1467840,2010-11,2011,2010,Toronto Raptors,2677082.6790611977
NBA,ajincal01,981084,2014-15,2015,2014,New Orleans Pelicans,497394.3964562569
NBA,ajincal01,4300000,2015-16,2016,2015,New Orleans Pelicans,52983.52981856253
NBA,ajincal01,4600000,2016-17,2017,2016,New Orleans Pelicans,396832.5696172363
NBA,ajincal01,4961798,2017-18,2018,2017,New Orleans Pelicans,521475.3144677591
NBA,akognjo01,788872,2013-14,2014,2013,Memphis Grizzlies,1322704.6479667001
NBA,alabiso01,770000,2010-11,2011,2010,Toronto Raptors,2677082.6790611977
NBA,alabiso01,830000,2011-12,2012,2011,Toronto Raptors,206409.61107801038
NBA,alarima01,232500,1987-88,1988,1987,Washington Bullets,453568.5147742187
NBA,alarima01,250000,1988-89,1989,1988,Washington Bullets,1939948.373773877
NBA,alarima01,500000,1990-91,1991,1990,Washington Bullets,65767.1893038237
NBA,alarima01,550000,1991-92,1992,1991,Washington Bullets,72561.6418460971
NBA,aldemfu01,3000000,2014-15,2015,2014,Philadelphia 76ers,497394.3964562569
NBA,aldemfu01,3000000,2015-16,2016,2015,Philadelphia 76ers,52983.52981856253
NBA,aldrico01,2126520,2010-11,2011,2010,Oklahoma City Thunder,2677082.6790611977
NBA,aldrico01,2286000,2011-12,2012,2011,Oklahoma City Thunder,206409.61107801038
NBA,aldrico01,2445480,2012-13,2013,2012,Sacramento Kings,1371581.766737486
NBA,aldrico01,981084,2014-15,2015,2014,New York Knicks,497394.3964562569
NBA,aldrico01,1100600,2015-16,2016,2015,Los Angeles Clippers,52983.52981856253
NBA,aldrico01,7643979,2016-17,2017,2016,Minnesota Timberwolves,396832.5696172363
NBA,aldrico01,7300000,2017-18,2018,2017,Minnesota Timberwolves,521475.3144677591
NBA,aldrila01,4027320,2006-07,2007,2006,Portland Trail Blazers,3023753.773834478
NBA,aldrila01,4329360,2007-08,2008,2007,Portland Trail Blazers,614557.5801130238
NBA,aldrila01,4631400,2008-09,2009,2008,Portland Trail Blazers,235998.7720890502
NBA,aldrila01,5844827,2009-10,2010,2009,Portland Trail Blazers,1922425.2246942683
NBA,aldrila01,11244000,2010-11,2011,2010,Portland Trail Blazers,2677082.6790611977
NBA,aldrila01,12372000,2011-12,2012,2011,Portland Trail Blazers,206409.61107801038
NBA,aldrila01,13500000,2012-13,2013,2012,Portland Trail Blazers,1371581.766737486
